x,y,u,v,S
38.750912,-17.430002,1.009328,-0.000940,2.375423
38.750912,17.440308,1.009320,0.000964,2.375169
41.255585,4.107605,0.983487,-0.001532,2.372162
41.255589,-12.478031,1.012999,-0.000424,2.350273
41.255589,12.503648,1.012980,0.000462,2.349823
38.750965,2.451031,0.908831,-0.003007,2.340648
38.750965,-2.447977,0.908146,0.003156,2.338896
38.750912,-19.195288,1.008223,-0.001065,2.331446
38.750912,19.198668,1.008223,0.001086,2.331365
41.255596,-14.143785,1.011553,-0.000569,2.319399
41.255596,14.165796,1.011540,0.000601,2.318989
43.753895,-5.818790,1.015329,0.000415,2.300292
43.753902,5.792326,1.014519,-0.000355,2.298638
43.753899,7.471784,1.017629,-0.000043,2.292614
43.753895,-7.505602,1.017552,0.000096,2.292145
41.255596,-15.743669,1.010303,-0.000698,2.287953
41.255596,15.760220,1.010294,0.000725,2.287626
43.753899,9.138711,1.015991,0.000103,2.273008
43.753902,-9.175611,1.015920,-0.000064,2.272463
41.255596,-17.430002,1.009126,-0.000823,2.253195
41.255596,17.440311,1.009124,0.000848,2.252988
43.753906,-10.783267,1.014338,-0.000211,2.250929
43.753906,10.811281,1.014335,0.000247,2.250585
36.249508,0.821663,0.813833,-0.002333,2.244519
36.249504,-0.841660,0.811831,0.002144,2.238969
43.753922,-4.134954,0.983243,0.001538,2.237245
43.753918,4.107605,0.981181,-0.001501,2.232685
43.753906,-12.478031,1.012760,-0.000357,2.225925
43.753906,12.503648,1.012750,0.000388,2.225558
41.255596,-19.195292,1.008041,-0.000944,2.215351
41.255596,19.198669,1.008046,0.000966,2.215292
43.753914,-14.143785,1.011331,-0.000492,2.199352
43.753914,14.165796,1.011322,0.000519,2.199006
41.255592,2.451032,0.907735,-0.002801,2.196408
41.255592,-2.447978,0.907114,0.002962,2.194917
46.233654,-5.818785,1.014417,0.000438,2.176937
46.233658,5.792331,1.013474,-0.000454,2.175066
46.233650,7.471775,1.017377,-0.000106,2.172326
43.753914,-15.743669,1.010097,-0.000613,2.172243
43.753914,15.760220,1.010091,0.000638,2.171968
46.233654,-7.505609,1.017270,0.000111,2.171848
46.233650,9.138709,1.015750,0.000049,2.155292
46.233646,-9.175611,1.015675,-0.000041,2.154805
43.753914,-17.430002,1.008934,-0.000732,2.142207
43.753914,17.440311,1.008935,0.000755,2.142035
46.233643,-10.783256,1.014105,-0.000176,2.136105
46.233643,10.811277,1.014104,0.000195,2.135815
46.233643,-12.478024,1.012540,-0.000312,2.114396
46.233643,12.503650,1.012533,0.000332,2.114087
46.233673,-4.134953,0.980946,0.001516,2.113280
38.750992,0.821663,0.818682,-0.002040,2.112206
46.233669,4.107606,0.979141,-0.001526,2.109502
43.753914,-19.195292,1.007866,-0.000848,2.109418
43.753914,19.198669,1.007872,0.000868,2.109371
38.750992,-0.841660,0.817348,0.001889,2.108739
46.233635,-14.143776,1.011125,-0.000438,2.091318
46.233635,14.165796,1.011118,0.000458,2.091025
43.753941,2.451032,0.906952,-0.002657,2.069611
43.753941,-2.447978,0.906464,0.002822,2.068506
46.233635,-15.743661,1.009902,-0.000552,2.067748
46.233635,15.760221,1.009899,0.000572,2.067515
48.744907,-5.818790,1.013518,0.000418,2.064571
48.744919,7.471779,1.017086,-0.000147,2.062459
48.744904,5.792329,1.012393,-0.000540,2.062412
48.744919,-7.505603,1.017001,0.000103,2.062072
48.744915,9.138710,1.015502,0.000018,2.047624
48.744915,-9.175611,1.015446,-0.000035,2.047229
46.233635,-17.429995,1.008752,-0.000664,2.041592
46.233635,17.440319,1.008753,0.000683,2.041444
48.744911,-10.783261,1.013889,-0.000160,2.030890
48.744911,10.811280,1.013874,0.000163,2.030613
46.233635,-19.195299,1.007699,-0.000773,2.012980
46.233635,19.198671,1.007703,0.000792,2.012937
48.744911,-12.478028,1.012333,-0.000285,2.011924
48.744911,12.503648,1.012320,0.000297,2.011643
48.744892,-4.134955,0.978785,0.001426,2.000791
48.744896,4.107606,0.977284,-0.001565,1.997816
41.255650,0.821662,0.822965,-0.001809,1.994402
41.255642,-0.841661,0.822287,0.001694,1.992740
48.744904,-14.143781,1.010930,-0.000402,1.991767
48.744904,14.165796,1.010920,0.000417,1.991508
48.744904,-15.743665,1.009716,-0.000508,1.971166
48.744904,15.760220,1.009714,0.000525,1.970966
51.280861,-5.818784,1.012651,0.000395,1.962125
51.280865,7.471776,1.016792,-0.000120,1.962072
51.280861,-7.505614,1.016745,0.000085,1.961798
51.280861,5.792331,1.011316,-0.000493,1.959651
46.233685,2.451034,0.906329,-0.002486,1.957579
46.233685,-2.447977,0.906092,0.002654,1.957075
51.280865,9.138711,1.015257,0.000029,1.949088
51.280865,-9.175611,1.015236,-0.000043,1.948806
48.744904,-17.429998,1.008582,-0.000613,1.948294
48.744904,17.440315,1.008582,0.000631,1.948163
51.280865,-10.783255,1.013685,-0.000158,1.934427
51.280865,10.811271,1.013656,0.000162,1.934158
48.744904,-19.195295,1.007540,-0.000716,1.923220
48.744904,19.198669,1.007545,0.000734,1.923183
51.280865,-12.478020,1.012139,-0.000274,1.917761
51.280865,12.503646,1.012116,0.000285,1.917497
51.280865,-14.143773,1.010746,-0.000382,1.900054
51.280865,14.165792,1.010733,0.000397,1.899821
51.280861,-4.134952,0.976793,0.001344,1.898630
51.280861,4.107606,0.975459,-0.001488,1.896118
43.753971,0.821662,0.826939,-0.001720,1.889645
43.753967,-0.841661,0.826774,0.001520,1.889252
51.280865,-15.743662,1.009543,-0.000481,1.881960
51.280865,15.760221,1.009537,0.000497,1.881778
53.775055,7.471776,1.016535,-0.000049,1.872360
53.775055,-7.505614,1.016496,0.000069,1.872127
53.775063,-5.818784,1.011793,0.000390,1.870609
53.775066,5.792331,1.010312,-0.000402,1.867969
51.280865,-17.429991,1.008418,-0.000579,1.861852
51.280865,17.440323,1.008419,0.000596,1.861741
53.775055,9.138711,1.015047,0.000073,1.860898
53.775059,-9.175611,1.015041,-0.000060,1.860676
48.744884,2.451033,0.905853,-0.002426,1.856017
48.744884,-2.447977,0.905745,0.002458,1.855801
53.775059,-10.783255,1.013499,-0.000169,1.847914
53.775059,10.811271,1.013459,0.000187,1.847656
51.280865,-19.195301,1.007386,-0.000675,1.839783
51.280865,19.198671,1.007391,0.000692,1.839753
53.775059,-12.478020,1.011963,-0.000277,1.833140
53.775059,12.503646,1.011937,0.000295,1.832901
53.775059,-14.143773,1.010577,-0.000377,1.817454
53.775059,14.165792,1.010561,0.000395,1.817243
53.775074,-4.134952,0.974971,0.001364,1.807719
53.775070,4.107606,0.973724,-0.001356,1.805477
53.775059,-15.743662,1.009384,-0.000469,1.801432
53.775059,15.760221,1.009377,0.000486,1.801270
46.233646,-0.841661,0.830912,0.001442,1.796906
46.233639,0.821662,0.830558,-0.001595,1.796156
56.280659,7.471776,1.016313,0.000035,1.790089
56.280663,-7.505616,1.016236,0.000022,1.789812
56.280643,-5.818786,1.010923,0.000326,1.786695
56.280632,5.792331,1.009361,-0.000292,1.784019
53.775059,-17.429991,1.008272,-0.000560,1.783627
53.775059,17.440323,1.008271,0.000577,1.783525
56.280659,9.138717,1.014874,0.000133,1.779925
56.280655,-9.175612,1.014857,-0.000096,1.779711
56.280651,-10.783252,1.013325,-0.000195,1.768321
56.280651,10.811264,1.013292,0.000226,1.768100
53.775059,-19.195301,1.007250,-0.000649,1.764063
53.775059,19.198671,1.007254,0.000666,1.764035
51.280861,2.451036,0.905481,-0.002306,1.763720
51.280861,-2.447976,0.905450,0.002261,1.763666
56.280651,-12.478015,1.011799,-0.000293,1.755153
56.280651,12.503641,1.011777,0.000319,1.754947
56.280643,-14.143773,1.010422,-0.000386,1.741186
56.280643,14.165787,1.010408,0.000408,1.741001
56.280643,-15.743662,1.009238,-0.000469,1.726929
56.280643,15.760222,1.009232,0.000490,1.726788
56.280590,-4.134952,0.973323,0.001197,1.724763
56.280598,4.107606,0.972003,-0.001217,1.722486
58.725666,7.471776,1.016127,0.000117,1.716457
58.725670,-7.505610,1.016007,-0.000041,1.716131
48.744877,-0.841660,0.834807,0.001303,1.712351
58.725662,-5.818787,1.010140,0.000259,1.711718
56.280643,-17.429989,1.008132,-0.000553,1.711081
56.280643,17.440325,1.008131,0.000572,1.710990
48.744877,0.821662,0.834079,-0.001552,1.710871
58.725658,5.792330,1.008512,-0.000175,1.709035
58.725666,9.138723,1.014737,0.000193,1.707377
58.725662,-9.175611,1.014695,-0.000145,1.707144
58.725658,-10.783257,1.013171,-0.000233,1.696892
58.725658,10.811268,1.013152,0.000270,1.696717
56.280643,-19.195305,1.007121,-0.000635,1.693665
56.280643,19.198673,1.007128,0.000653,1.693646
58.725658,-12.478007,1.011650,-0.000322,1.685054
58.725658,12.503640,1.011637,0.000351,1.684882
53.775078,-2.447976,0.905302,0.002139,1.681760
53.775078,2.451036,0.905250,-0.002084,1.681660
58.725651,-14.143773,1.010283,-0.000406,1.672519
58.725651,14.165780,1.010276,0.000430,1.672365
58.725651,-15.743661,1.009106,-0.000482,1.659732
58.725651,15.760220,1.009106,0.000503,1.659614
58.725643,-4.134951,0.971897,0.001084,1.650893
58.725647,4.107605,0.970437,-0.001048,1.648465
61.238789,7.471776,1.015956,0.000163,1.646795
61.238789,-7.505616,1.015774,-0.000101,1.646391
58.725651,-17.429993,1.008004,-0.000559,1.645514
58.725651,17.440325,1.008011,0.000577,1.645446
61.238789,-5.818786,1.009314,0.000194,1.640771
61.238789,9.138717,1.014615,0.000238,1.638672
61.238785,-9.175612,1.014549,-0.000201,1.638420
61.238789,5.792331,1.007654,-0.000142,1.638139
51.280903,-0.841661,0.838465,0.001190,1.634825
51.280907,0.821662,0.837444,-0.001420,1.632844
58.725651,-19.195309,1.007001,-0.000634,1.629895
58.725651,19.198673,1.007010,0.000651,1.629882
61.238785,-10.783252,1.013029,-0.000280,1.629164
61.238785,10.811264,1.013024,0.000311,1.629028
61.238785,-12.478015,1.011515,-0.000361,1.618499
61.238785,12.503641,1.011509,0.000386,1.618356
61.238785,-14.143773,1.010154,-0.000437,1.607223
61.238785,14.165787,1.010150,0.000458,1.607091
56.280567,2.451035,0.905225,-0.001851,1.606895
56.280567,-2.447977,0.905149,0.001918,1.606764
61.238785,-15.743662,1.008983,-0.000506,1.595730
61.238785,15.760222,1.008984,0.000525,1.595628
61.238785,-17.429989,1.007889,-0.000575,1.582964
61.238785,17.440325,1.007895,0.000592,1.582904
63.747627,7.471777,1.015751,0.000174,1.582560
63.747627,-7.505609,1.015551,-0.000169,1.582152
61.238792,-4.134952,0.970451,0.001009,1.581100
61.238792,4.107606,0.968861,-0.001009,1.578557
63.747608,-5.818785,1.008512,0.000119,1.575490
63.747631,9.138728,1.014489,0.000272,1.575309
63.747635,-9.175611,1.014411,-0.000261,1.575060
63.747601,5.792329,1.006776,-0.000168,1.572836
61.238785,-19.195305,1.006889,-0.000643,1.568933
61.238785,19.198673,1.006901,0.000659,1.568926
63.747639,-10.783262,1.012898,-0.000335,1.566663
63.747639,10.811271,1.012899,0.000352,1.566551
53.775105,-0.841661,0.841630,0.001140,1.564901
53.775108,0.821662,0.840566,-0.001221,1.562933
63.747639,-12.478012,1.011391,-0.000410,1.557006
63.747639,12.503647,1.011387,0.000427,1.556884
63.747650,-14.143772,1.010039,-0.000479,1.546818
63.747650,14.165774,1.010038,0.000495,1.546704
58.725620,2.451034,0.905239,-0.001658,1.540133
58.725620,-2.447974,0.904877,0.001749,1.539521
63.747650,-15.743662,1.008872,-0.000540,1.536440
63.747650,15.760216,1.008874,0.000556,1.536350
63.747650,-17.429998,1.007786,-0.000601,1.524926
63.747650,17.440325,1.007792,0.000617,1.524871
66.249077,7.471776,1.015477,0.000199,1.523160
66.249077,-7.505610,1.015326,-0.000216,1.522847
63.747574,-4.134953,0.968982,0.000938,1.516843
66.249077,9.138723,1.014339,0.000323,1.516736
66.249069,-9.175611,1.014277,-0.000326,1.516529
66.249069,-5.818787,1.007672,0.000116,1.515203
63.747578,4.107605,0.967460,-0.000972,1.514502
66.249069,5.792330,1.005810,-0.000200,1.512456
63.747650,-19.195313,1.006798,-0.000661,1.512278
63.747650,19.198675,1.006804,0.000676,1.512265
66.249062,-10.783257,1.012776,-0.000402,1.508884
66.249062,10.811268,1.012771,0.000409,1.508774
56.280674,-0.841660,0.844609,0.001110,1.500542
66.249062,-12.478007,1.011279,-0.000472,1.500104
66.249062,12.503640,1.011275,0.000482,1.499993
56.280682,0.821662,0.843295,-0.001025,1.498215
66.249046,-14.143773,1.009935,-0.000533,1.490854
66.249046,14.165780,1.009932,0.000544,1.490748
66.249046,-15.743661,1.008776,-0.000586,1.481446
66.249046,15.760220,1.008779,0.000597,1.481367
61.238808,2.451035,0.905208,-0.001594,1.476981
61.238808,-2.447977,0.904808,0.001617,1.476330
66.249046,-17.429993,1.007697,-0.000637,1.471014
66.249046,17.440325,1.007704,0.000649,1.470968
68.810837,7.471777,1.015161,0.000303,1.466671
68.810844,-7.505609,1.015041,-0.000315,1.466420
68.810837,9.138728,1.014183,0.000425,1.461042
68.810837,-9.175611,1.014132,-0.000431,1.460867
66.249046,-19.195309,1.006706,-0.000688,1.459547
66.249046,19.198673,1.006714,0.000699,1.459538
68.810867,-5.818785,1.006713,0.000047,1.457812
66.249054,-4.134951,0.967616,0.000932,1.457738
66.249062,4.107605,0.966269,-0.001034,1.455746
68.810875,5.792329,1.004760,-0.000112,1.455029
68.810837,-10.783262,1.012661,-0.000498,1.453916
68.810837,10.811271,1.012648,0.000500,1.453806
68.810837,-12.478012,1.011180,-0.000554,1.445926
68.810837,12.503647,1.011173,0.000559,1.445821
58.725590,-0.841661,0.847190,0.000983,1.442478
58.725586,0.821661,0.845684,-0.000937,1.439921
68.810837,-14.143772,1.009848,-0.000601,1.437518
68.810837,14.165774,1.009841,0.000608,1.437418
68.810837,-15.743662,1.008697,-0.000642,1.428974
68.810837,15.760216,1.008695,0.000650,1.428897
68.810837,-17.429998,1.007627,-0.000681,1.419511
68.810837,17.440325,1.007631,0.000691,1.419467
63.747601,2.451031,0.905247,-0.001438,1.419002
63.747601,-2.447975,0.904859,0.001461,1.418396
68.810837,19.198675,1.006650,0.000732,1.409105
68.810837,-19.195313,1.006633,-0.000721,1.409100
68.810898,-4.134953,0.966344,0.000845,1.401819
68.810898,4.107605,0.965031,-0.000959,1.399948
61.238827,-0.841660,0.849766,0.000815,1.387496
61.238831,0.821662,0.847786,-0.000934,1.384270
66.249123,2.451034,0.905271,-0.001445,1.365533
66.249123,-2.447974,0.904995,0.001364,1.365118
63.747776,-0.841661,0.852150,0.000684,1.336637
63.747791,0.821661,0.849616,-0.000833,1.332667
68.810890,2.451031,0.905297,-0.001391,1.314798
68.810890,-2.447975,0.905186,0.001192,1.314639
66.249222,-0.841661,0.854273,0.000636,1.289381
66.249229,0.821661,0.851372,-0.000811,1.285006
68.810844,-0.841661,0.856309,0.000527,1.244347
68.810837,0.821661,0.853135,-0.000847,1.239738
